id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,OMP,RT_I
1,1,1,1,0.6500626493366148,1,1,1,1,False,False,False,False,False,1,1,2,0.6500723506633852,3.4999999999896225e-06,0.6500675,1,1,True,1,False,1
2,2048,2048,512,0.8457821964936565,1,128,16,256,False,True,False,False,True,21,8,2,0.8523098035063434,0.002354999999999996,0.849046,1,1,True,19,False,1
3,2048,256,2048,0.7691410054630434,32,16,1,16,True,False,False,False,False,24,1,2,0.7717769945369566,0.0009510000000000352,0.770459,1,25,True,21,False,1
4,1024,1024,64,0.7234665488383155,1,1,128,256,True,False,True,True,True,25,1,2,0.7236924511616846,8.150000000001212e-05,0.7235795,5,1,True,14,False,1
5,1,256,256,0.3418620254547467,1,32,32,16,False,True,True,True,False,24,1,2,0.3422209745452533,0.0001295000000000046,0.3420415,1,15,True,6,False,1
6,1,256,1024,inf,1,16,32,16,True,True,False,False,True,10,1,1,inf,inf,inf,7,9,False,1,True,32
7,2048,2048,128,0.3664363271896699,8,128,256,32,True,True,True,False,True,28,1,2,0.3685456728103301,0.0007610000000000117,0.367491,26,9,True,1,False,8
8,512,1024,1,inf,8,1,16,128,False,True,True,True,True,22,8,1,inf,inf,inf,13,7,False,1,True,1
9,128,1024,256,0.4209565760340683,8,128,1,1,False,False,True,True,True,22,8,2,0.42162042396593175,0.0002395000000000036,0.4212885,17,24,True,1,False,1
10,64,1024,2048,inf,8,16,256,1,True,True,True,False,False,13,8,1,inf,inf,inf,1,8,False,8,True,1
