id,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,speedup_O3,T2_K,T2_J,T2_I,points,RT_I,cost_mean,RT_J
1,8,512,16,128,1,16,22,DLMT,28,1.5148806691830214,256,2048,2048,105,8,0.09384737000000005,1
2,8,512,512,1,1,21,15,DLMT,30,1.5293641069803683,1,1024,1,105,8,0.09295861333333333,1
3,8,1,1,512,1,24,6,DLMT,5,1.5045782810190846,1,128,2048,162,1,0.09448997666666663,8
4,8,32,1,1,30,21,1,DLMT,16,1.5200031504672422,1,1024,128,136,8,0.0935311,1
5,8,64,1,1,1,22,10,DLMT,14,1.5227146892732015,1,512,1,139,8,0.09336454666666669,1
6,8,128,512,1,1,15,15,DLMT,4,1.52240949386398,2048,1,1,114,8,0.09338326333333329,1
7,8,16,1,128,1,17,18,DLMT,9,1.5276383669839084,256,1,256,126,8,0.09306362666666661,1
8,8,512,512,512,12,1,19,DLMT,2,1.51001389558035,2048,1,2048,115,8,0.09414984000000003,1
9,8,32,16,1,1,9,21,DLMT,16,1.5312302393116402,2048,2048,2048,123,8,0.09284532333333338,1
10,8,512,128,512,17,21,1,DLMT,15,1.52955058681294,1,2048,2048,118,8,0.09294728000000003,1
11,8,1,512,1,8,1,12,DLMT,9,1.5158465201075675,2048,1,2048,137,8,0.09378757333333337,1
12,8,512,512,512,1,15,21,DLMT,4,1.5273682240519328,1024,2048,1024,141,8,0.09308008666666669,1
13,8,16,1,1,1,21,15,DLMT,9,1.5278054898485947,1,1,256,134,8,0.09305344666666664,1
14,8,128,32,512,1,16,26,DLMT,29,1.5103407222109684,1,1,2048,123,8,0.09412946666666672,1
15,8,1,1,512,1,17,13,DLMT,18,1.53177610811448,2048,1,1,129,8,0.09281223666666666,1
16,8,128,512,1,1,21,18,DLMT,18,1.5243758667487335,1,1024,1,112,8,0.09326280333333335,1
17,8,512,16,512,1,6,14,DLMT,4,1.516214900291638,1,2048,512,126,8,0.09376478666666666,1
18,8,256,1,512,1,16,10,DLMT,17,1.5212764773552039,512,512,1,123,8,0.09345281333333329,1
19,8,16,16,1,1,16,18,DLMT,15,1.5218142937313492,2048,1,64,129,8,0.0934197866666667,1
20,8,256,256,512,30,16,1,DLMT,30,1.5269926555161468,2048,1,2048,126,8,0.09310297999999999,1
21,8,1,512,1,1,18,15,DLMT,12,1.5274350670512888,1,2048,512,128,8,0.09307601333333336,1
22,8,16,1,1,1,14,16,DLMT,22,1.5338828807094789,2048,1,1,141,8,0.09268476,1
23,8,512,16,1,19,10,1,DLMT,8,1.5274067319067555,1,128,1,127,8,0.09307774,1
24,8,1,512,512,30,15,1,DLMT,7,1.526916886126016,1,2048,2048,126,8,0.09310760000000003,1
25,8,512,512,512,1,14,14,DLMT,30,1.522910589717595,512,2048,512,111,8,0.09335253666666664,1
26,8,128,32,1,14,2,1,DLMT,29,1.5180227489128686,1,128,1,118,8,0.09365311999999996,1
27,8,64,16,64,1,10,17,DLMT,2,1.5140626061101787,1024,256,256,131,8,0.09389807666666666,1
28,8,1,512,512,22,13,1,DLMT,15,1.5241750682488397,1,2048,2048,113,8,0.09327509000000002,1
29,8,32,1,64,1,17,30,DLMT,1,1.5265668373439905,2048,1,1024,108,8,0.09312895000000004,1
30,8,1,1,1,1,17,16,DLMT,17,1.5438103640962302,2048,1,512,123,8,0.09208874999999998,1
31,8,512,128,512,1,17,14,DLMT,13,1.525738127042205,2048,1,1,106,8,0.09317953333333331,1
32,8,1,512,1,1,21,16,DLMT,30,1.5302624801533566,1,512,1,109,8,0.09290404000000002,1
33,8,1,16,1,1,15,17,DLMT,16,1.5360428092600944,1,2048,1024,108,8,0.09255442999999995,1
34,8,32,64,512,30,15,1,DLMT,30,1.5259765723112253,1,2048,128,109,8,0.09316497333333332,1
35,8,1,128,1,24,15,1,DLMT,15,1.528115207047014,2048,128,256,118,8,0.09303458666666665,1
36,8,512,64,512,30,18,1,DLMT,19,1.5229639368707766,1,1,1,117,8,0.09334926666666671,1
37,8,64,16,512,1,2,1,DLMT,12,1.5342591422470095,1,1,2048,126,8,0.09266203000000002,1
38,8,512,16,1,1,16,8,DLMT,29,1.5317931074559172,1,1,1,116,8,0.09281120666666667,1
