id,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,speedup_O3,T2_K,T2_J,T2_I,points,RT_I,cost_mean,RT_J
1,1,512,256,16,21,16,1,DLMT,30,1.5186615438661808,1,2048,1,168,8,0.09361372666666669,1
2,8,256,64,512,19,18,1,DLMT,19,1.519255308151828,1,256,256,198,8,0.09357713999999996,1
3,8,512,512,512,21,1,1,DLMT,1,1.5108524749572922,1,1,512,181,8,0.09409758333333332,1
4,1,128,512,1,1,16,15,DLMT,18,1.7521048952473859,1,512,256,230,8,0.0811410133333333,8
5,8,1,512,256,1,15,14,DLMT,25,1.4874960271203161,1,1,1,243,8,0.09557509000000003,1
6,8,512,1,512,1,17,15,DLMT,29,1.508149969625027,512,1,1,148,8,0.09426619999999998,1
7,8,1,1,512,18,18,1,DLMT,16,1.508882592306856,512,1,512,235,8,0.09422043000000001,1
8,1,512,512,1,1,10,10,DLMT,27,1.7079821530009942,1,2048,1,168,1,0.08323715,1
9,8,512,1,512,1,18,13,DLMT,2,1.4982396585847841,2048,1,1,173,8,0.09488973666666663,1
10,1,1,128,1,1,23,15,DLMT,1,1.7290522190329212,1,2048,2048,158,8,0.08222283000000002,1
11,1,1,512,1,1,1,19,DLMT,28,1.7528050148071015,1,1,2048,181,8,0.08110860333333335,1
12,8,64,512,512,1,14,19,DLMT,1,1.4936980002014473,1024,1,1,169,8,0.09517825333333331,1
13,8,64,64,512,1,16,9,DLMT,1,1.4985471914118231,512,1,2048,186,8,0.0948702633333333,1
14,1,512,512,1,1,11,11,DLMT,13,1.7586097628407078,1,512,1,198,8,0.08084088333333335,1
15,1,64,512,1,1,20,10,DLMT,2,1.6574620782655243,1,1,1024,175,1,0.08577425000000002,8
16,8,1,128,128,1,21,18,DLMT,28,1.501616049029901,2048,2048,128,149,8,0.09467637666666665,1
17,8,512,1,512,1,12,18,DLMT,28,1.5014429778977376,512,1,512,207,8,0.09468729000000001,1
18,8,1,256,512,1,13,15,DLMT,24,1.4911350745508627,1,1,128,224,8,0.09534184333333334,1
19,1,64,16,1,1,1,17,DLMT,14,1.7214657754387344,1,128,1,198,8,0.08258518333333333,8
20,8,64,512,512,15,15,1,DLMT,2,1.5103685881585234,1,512,128,270,8,0.09412773,1
21,1,1,1,1,1,14,7,DLMT,2,1.7249087624082435,1,2048,256,201,1,0.08242034000000002,8
22,8,1,1,512,1,28,16,DLMT,14,1.4793423548019065,512,2048,512,238,8,0.09610187,1
23,8,64,512,512,18,13,1,DLMT,8,1.505729183840638,2048,2048,2048,159,8,0.09441775333333334,1
24,1,512,1,1,1,30,12,DLMT,1,1.7472949771261488,1,64,512,172,8,0.08136437666666667,8
25,8,1,256,1,17,13,1,DLMT,2,1.50551743053396,1,1,64,276,8,0.0944310333333333,1
26,8,1,1,128,1,15,13,DLMT,11,1.500843775010972,128,1,128,177,8,0.09472509333333336,1
27,8,256,512,1,1,17,13,DLMT,24,1.5004951250752399,2048,1024,512,199,8,0.09474710333333335,1
28,8,1,256,1,1,12,11,DLMT,30,1.4965376688603111,2048,1,2048,164,8,0.09499765333333338,1
29,8,1,128,1,1,12,16,DLMT,30,1.5005053135142636,512,2048,1,188,8,0.09474646000000003,1
30,1,256,512,1,1,1,8,DLMT,1,1.726724937697609,1,2048,1024,169,8,0.08233364999999997,8
31,8,512,1,1,1,15,11,DLMT,19,1.5096258123213226,1,2048,2048,198,8,0.09417404333333328,1
32,1,1,128,1,1,28,30,DLMT,1,1.7418710476318062,1,1,128,198,8,0.08161773333333332,8
33,8,1,512,512,13,1,17,DLMT,2,1.4909310541563912,1,512,1,229,8,0.09535488999999998,1
34,1,512,1,1,1,14,9,DLMT,11,1.7564230935764404,1,64,1024,184,8,0.08094152666666671,1
35,8,1,512,512,22,1,11,DLMT,16,1.4911089042761345,512,1,256,204,8,0.09534351666666666,1
36,8,512,512,1,1,15,15,DLMT,13,1.5101016307896766,1,1,1024,162,8,0.09414436999999999,1
37,1,64,512,1,1,14,13,DLMT,29,1.7604801981697902,1,512,256,250,8,0.0807549933333333,1
38,8,1,1,512,1,17,30,DLMT,4,1.521816248541528,512,1,2048,228,8,0.09341966666666665,1
39,8,64,1,512,12,1,14,DLMT,15,1.4927368051826657,1,2048,1,216,8,0.09523954,1
40,1,512,512,1,1,3,17,DLMT,20,1.7215693799773828,1,512,1,153,8,0.08258021333333335,1
41,1,32,512,1,1,12,29,DLMT,1,1.749972273475319,1,1,256,201,8,0.08123989666666669,8
42,1,1,256,16,28,13,1,DLMT,2,1.5141899468790743,1,512,1024,188,8,0.09389017999999998,8
43,1,1,512,16,24,19,1,DLMT,11,1.513728740675099,1,512,128,186,8,0.09391878666666671,1
44,1,512,1,1,1,2,11,DLMT,8,1.7344060800857044,1,64,1,153,8,0.08196901999999999,8
45,1,128,1,1,1,19,18,DLMT,30,1.7650981671858128,1,1024,128,179,8,0.08054371666666664,1
46,1,1,1,1,1,30,13,DLMT,21,1.7191109757507324,1,1,512,186,8,0.08269830666666671,8
47,1,16,1,1,1,30,7,DLMT,5,1.5536562819699637,1,2048,1,184,1,0.09150516000000003,32
48,8,64,512,512,1,18,14,DLMT,19,1.505307330634409,512,1,128,189,8,0.09444421333333336,1
49,8,64,128,512,12,20,1,DLMT,1,1.5105316325811078,2048,512,1024,151,8,0.09411757,1
50,8,64,1,512,1,15,6,DLMT,18,1.5096398121319134,2048,1,2048,184,8,0.09417316999999996,1
51,1,1,64,1,1,2,14,DLMT,12,1.7701621122046567,1,1,2048,149,8,0.08031330333333336,1
52,1,128,512,1,1,30,14,DLMT,4,1.7514694900258236,1,512,2048,208,8,0.08117045000000005,8
53,8,512,512,512,19,1,12,DLMT,19,1.4951688473148503,1,512,1,205,8,0.09508462333333331,1
54,8,1,64,512,1,15,17,DLMT,12,1.5063112806990655,512,1,2048,215,8,0.09438126666666667,1
55,1,512,1,1,1,22,2,DLMT,29,1.7581955199153245,1,2048,512,148,8,0.08085992999999997,1
56,1,512,512,1,1,14,14,DLMT,12,1.7628649577524755,1,1,2048,233,8,0.08064574999999999,1
57,8,32,512,512,18,17,1,DLMT,1,1.5166465574474706,2048,2048,1,150,8,0.09373809999999996,1
58,1,1,16,16,25,16,1,RS,25,1.509818572994363,1,1,2048,300,8,0.09416202000000004,8
59,1,16,256,1,1,11,17,RS,21,1.7498182703174365,1,512,1024,300,8,0.08124704666666668,1
60,1,16,128,1,1,7,28,RS,16,1.7411171541124275,1,128,1024,300,8,0.08165307333333335,1
61,1,64,16,1,1,11,4,RS,7,1.7316308322855312,1,1024,2048,300,8,0.08210038999999998,8
62,8,64,16,512,7,3,1,RS,17,1.5041901747060866,2048,1024,1,300,8,0.09451435666666666,1
63,1,512,128,16,19,20,1,RS,26,1.517589552161269,1,2048,1024,300,8,0.0936798533333333,1
64,8,16,16,512,1,15,23,RS,21,1.5156456462101766,2048,256,256,300,8,0.09380000333333335,1
65,1,128,64,16,29,11,1,RS,14,1.4787442008197496,1024,64,2048,300,8,0.09614074333333332,1
