id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,speedup,U1_J,U1_I,U8_I,U7_I,U7_J,U2_I,cost_mean,U9_I,RT3_I,RT3_J,points,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,16,64,DLMT,1,1,False,1,64,False,64,512,1,False,16,1,1024,64,True,False,True,256,True,512,True,512,False,12,16,2048,True,1,4,1.430684011271896,1,4,1,1,8,1,0.06501530285714284,16,8,8,382,1,1,8,2048,True,1,1,1,4
2,64,1,DLMT,1,8,True,1,256,True,256,1,8,True,1,256,64,1,False,False,False,1,False,1,True,128,False,16,8,64,True,1,4,1.3758481161696274,1,16,1,4,1,1,0.06760655714285715,16,8,1,420,1,1024,8,64,True,4,1,8,1
3,256,256,DLMT,8,1,False,1,128,False,256,16,1,True,16,1,512,1,True,True,False,32,True,16,True,256,False,1,16,64,True,1,4,1.4301271785507574,16,1,8,8,1,16,0.06504061714285712,12,1,1,425,1024,2048,4,1024,True,8,8,1,1
4,1,256,DLMT,8,8,True,1,512,True,64,64,8,False,32,64,64,64,True,True,False,1,False,512,False,512,False,1,1,1024,True,4,1,1.3781030705045219,16,1,12,1,1,8,0.06749593428571428,4,1,32,422,256,1,4,2048,True,1,1,1,16
5,512,2048,DLMT,1,1,False,1,256,False,16,128,1,True,64,32,512,64,True,False,False,512,True,1,True,2048,True,1,4,256,True,12,1,1.4069177673448403,1,12,8,12,1,8,0.06611356857142857,16,1,32,434,2048,1,4,2048,True,8,32,1,1
6,1,256,DLMT,32,8,False,1,512,True,256,32,1,True,512,16,1024,256,True,False,False,256,True,512,True,1,False,16,8,2048,False,1,16,1.4061126770710217,1,12,1,1,1,12,0.06615142285714283,16,8,8,412,1024,2048,4,2048,True,1,1,1,16
7,512,128,DLMT,1,8,True,1,512,True,32,16,1,False,512,16,1,256,True,True,True,256,True,32,True,2048,True,12,12,2048,True,1,4,1.4898407294771623,1,8,4,16,1,12,0.06243375714285715,16,1,8,387,2048,2048,16,2048,True,4,8,1,1
8,512,1,DLMT,32,1,True,1,128,True,16,1,1,True,512,32,512,2048,True,True,True,32,False,512,True,1,False,12,16,2048,True,1,4,1.4861655467148442,1,4,8,8,1,12,0.06258815142857141,16,1,32,371,2048,128,4,2048,True,12,8,1,1
9,128,256,DLMT,32,1,False,1,1,False,128,16,1,True,256,1,512,1024,True,True,True,1,False,64,False,256,False,1,4,1,False,1,16,1.3736075418596063,16,1,4,4,1,12,0.06771683428571426,4,32,1,373,1,128,12,64,True,1,1,1,8
10,256,512,DLMT,1,1,True,1,16,True,64,32,8,False,128,64,1024,64,True,True,True,512,True,1,True,1024,False,4,1,1,True,1,16,1.3795677487243256,16,1,12,1,4,4,0.06742427428571428,1,8,8,378,1024,64,16,256,True,1,8,8,16
11,32,128,RS,1,1,True,1,1,False,128,512,1,False,32,64,64,2048,True,False,True,64,False,16,True,64,False,8,8,512,True,1,16,1.4073356544741216,1,4,8,8,1,1,0.06609393714285712,8,1,8,440,1024,128,16,2048,True,1,8,1,8
12,128,512,RS,32,8,True,1,256,True,512,128,1,True,1,256,256,512,True,False,True,256,False,1,True,256,False,12,12,1,True,1,4,1.4057171843689964,8,1,12,12,1,1,0.06617003428571429,1,8,8,440,1024,1024,8,512,True,1,8,8,4
13,32,64,RS,32,8,False,1,32,True,64,16,1,True,16,32,128,1024,True,False,True,256,False,512,True,512,True,1,4,1024,True,1,1,1.4496951388534816,1,4,12,16,1,8,0.06416269999999998,8,1,8,440,2048,128,16,2048,True,4,8,1,1
14,512,512,RS,32,8,False,1,1,False,32,64,1,False,32,16,1024,1,True,True,False,512,True,64,True,64,True,16,8,64,True,1,4,1.4117044368161729,1,4,1,12,1,1,0.06588939714285715,16,8,8,440,2048,1024,1,512,True,1,1,1,8
15,16,1,RS,1,1,False,1,32,False,1,1,1,True,32,128,2048,1024,True,False,False,1,True,32,False,512,True,1,4,1,True,8,1,1.3752468672695561,8,1,4,1,4,8,0.06763611428571431,4,1,32,440,1,256,4,64,True,4,1,8,1
16,64,2048,RS,8,8,False,1,64,True,64,1,1,False,256,64,1,2048,True,True,False,32,False,32,False,1024,True,12,12,512,True,4,1,1.3781860291747303,1,4,8,8,1,16,0.06749187142857142,1,8,8,440,512,1024,4,1,True,4,32,1,1
17,32,512,RS,8,8,False,1,512,True,32,512,8,True,32,1,64,1,True,True,False,512,False,32,False,128,False,1,1,1024,True,12,1,1.3609090728960347,1,1,1,12,1,1,0.06834869142857145,8,8,8,440,512,512,1,512,True,8,1,1,1
18,32,1024,RS,8,8,False,1,128,False,1,64,8,True,32,16,1024,1024,True,False,False,32,True,256,True,1024,False,8,8,256,False,1,4,1.3889957461964626,1,16,16,1,1,16,0.06696662285714287,16,8,8,440,512,2048,8,2048,True,1,32,1,1
19,256,128,RS,1,8,True,1,32,False,512,1,1,True,32,32,1,512,True,True,True,512,True,1,True,256,False,4,1,64,True,8,1,1.3984848244681758,1,8,8,12,1,16,0.06651223714285717,1,1,1,440,1024,1,4,64,True,12,1,8,1
20,32,2048,RS,8,8,True,1,64,False,256,64,1,True,256,512,512,2048,True,True,True,128,False,256,False,512,False,1,8,1,False,1,8,1.3960519131939606,1,4,12,12,1,8,0.06662814857142857,1,1,1,440,512,1024,8,64,True,1,1,1,16
21,16,256,DLMT,1,8,False,1,512,True,16,1,8,True,32,128,256,1,True,False,False,32,True,128,False,1024,False,16,1,256,True,12,1,1.3821965495401254,4,1,16,16,1,8,0.06729604000000002,1,1,32,69,64,512,16,256,True,4,8,1,1
