id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,64,2048,DLMT,8,32,True,1,16,True,512,128,8,False,0.1665974760135537,128,64,128,2048,True,True,False,32,False,32,True,256,True,1,16,2048,True,1,16,1,12,12,1,12,0.0012233694240723458,35,0.16740806684358914,16,0.16700277142857142,8,32,1,True,1024,1,12,128,True,16,8,1,1
2,256,512,DLMT,1,32,False,1,256,True,512,16,32,False,0.19848297103468154,64,256,256,1,True,False,True,512,True,512,False,1,True,8,1,64,True,12,1,12,1,16,8,1,0.0016832689299729419,35,0.1995982861081756,1,0.19904062857142857,4,1,1,True,512,2048,1,2048,True,1,1,32,12
3,256,1,DLMT,1,1,True,8,1,False,1,128,32,True,0.11141311460332563,64,32,1,2048,False,True,True,16,True,512,False,1,True,4,16,64,True,1,16,4,1,1,16,1,0.0009214928323107029,35,0.11202368539667439,8,0.11171840000000001,1,1,1,True,512,128,8,256,True,1,8,1,16
4,256,512,DLMT,1,8,False,8,16,True,512,1,32,False,0.1187441593967312,32,128,2048,1024,True,False,True,32,True,1,False,1,True,12,1,2048,True,1,1,1,8,1,12,1,0.006512759445010345,35,0.12305944060326877,8,0.12090179999999999,8,1,32,True,64,64,1,64,True,12,1,1,1
5,256,512,DLMT,1,1,False,1,16,True,512,1,8,True,0.07181175477519271,32,16,2048,2048,True,True,True,128,True,1,False,256,False,16,4,64,False,4,1,4,1,16,4,1,0.0017819182754937944,35,0.07299243379623584,4,0.07240209428571427,4,8,8,True,2048,128,1,64,True,12,32,1,1
6,128,512,DLMT,1,1,False,1,1,False,128,32,8,False,0.07229443930003751,16,256,2048,256,False,True,False,256,True,16,True,128,False,8,16,256,True,1,1,1,16,16,16,1,0.0020850704689388357,35,0.07367598355710533,12,0.07298521142857142,1,8,8,True,1024,2048,4,64,True,16,1,8,1
7,256,128,DLMT,1,8,True,1,512,False,512,256,32,False,0.15683490228196936,64,64,2048,2048,False,False,False,1,False,1,True,1024,True,12,8,256,False,1,1,4,1,8,1,16,0.0013579998485167173,35,0.1577346977180306,16,0.15728479999999997,8,32,1,True,1,2048,1,1024,True,16,1,32,1
8,32,64,DLMT,1,1,False,32,512,True,256,32,1,True,0.09069882206703972,1,32,2048,256,False,True,True,512,True,64,False,2048,True,1,16,512,True,16,1,1,4,4,1,8,0.002589706096075186,35,0.09241473221867458,8,0.09155677714285715,16,1,1,True,2048,512,8,256,False,16,1,1,1
9,32,1,DLMT,1,1,True,32,128,False,128,512,1,True,0.12962897881234914,512,512,128,256,False,True,False,512,True,128,False,128,False,16,12,1,True,1,12,1,1,16,1,8,0.002132392824782449,35,0.13104187833050795,1,0.13033542857142855,4,32,1,True,1024,512,16,1,False,8,1,1,1
10,32,2048,DLMT,1,1,True,32,64,True,32,16,32,True,0.14398998176105735,16,32,1,1,True,True,False,128,True,1,False,2048,True,8,16,1024,True,16,1,1,12,8,8,1,0.0009752774952048575,35,0.1446361896675141,12,0.14431308571428572,1,8,1,True,1,1,16,1,True,1,1,32,16
11,512,512,DLMT,1,1,False,1,128,True,32,16,1,False,0.07060291872538961,64,512,2048,256,True,True,False,1,False,16,True,64,True,16,1,128,False,16,1,12,1,1,1,12,0.0016490594604692897,35,0.0716955669888961,16,0.07114924285714286,4,32,1,True,1024,1024,12,256,True,1,32,1,8
