id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,64,2048,DLMT,32,32,True,1,1,True,16,1,1,False,0.4766865646521621,64,1,1,256,True,True,True,64,False,64,False,64,False,8,1,1,False,1,16,4,1,1,16,1,0.001470702121922915,35,0.477661035347838,1,0.47717380000000004,4,32,1,True,1024,256,8,2048,False,16,8,8,1
2,16,1024,DLMT,32,1,True,1,512,True,256,1,1,True,0.27270207199692403,64,256,1,256,True,False,False,1,True,1,True,64,True,16,1,2048,True,1,1,1,16,16,1,8,0.000457726716435448,35,0.2730053565745046,16,0.2728537142857143,1,32,1,True,1,1,4,1,True,1,1,1,1
3,64,2048,DLMT,32,1,False,1,128,False,128,256,1,False,0.4442764673976634,512,32,128,512,False,True,False,512,True,1,False,2048,True,4,1,1,True,1,1,1,1,8,1,8,0.007803645899141226,35,0.4494470754594793,16,0.44686177142857136,1,1,8,True,1024,2048,8,256,False,1,1,8,8
4,256,128,DLMT,8,1,False,32,1,False,128,16,8,False,0.39899971945913004,16,1,256,128,True,False,True,16,False,64,True,2048,True,16,16,128,False,1,16,1,4,4,1,12,0.0019414601187387455,35,0.40028610911229834,16,0.3996429142857142,1,32,1,True,2048,256,16,1,False,16,8,1,1
5,16,2048,DLMT,8,32,False,1,32,False,1,16,1,False,0.5551468502844139,512,16,64,2048,True,False,False,16,False,512,False,2048,True,4,4,1024,True,4,1,1,1,16,4,1,0.0016656088709599282,35,0.5562504640013004,1,0.5556986571428572,1,1,32,True,1024,1,8,256,False,16,1,1,1
6,16,1024,DLMT,8,8,True,1,32,True,256,32,1,False,0.22500074378415322,128,128,2048,2048,False,False,True,1,True,16,False,2048,True,16,1,128,False,1,4,4,1,12,1,12,0.0003607467131110251,35,0.2252397705015611,16,0.22512025714285716,8,1,1,True,128,1024,4,2048,True,1,8,8,1
7,64,2048,DLMT,1,1,True,32,16,True,64,16,32,True,0.4772450643875658,128,1,1024,128,True,True,True,256,True,256,False,1,False,4,4,128,False,8,1,12,1,16,1,12,0.0018544358754959802,35,0.4784737927552914,16,0.4778594285714286,4,32,1,True,512,64,4,128,False,1,8,8,8
8,256,1024,DLMT,1,1,False,1,16,False,512,16,32,False,0.3948414877546978,512,512,256,512,True,True,False,512,False,256,False,1,True,12,1,512,False,1,4,4,1,1,1,4,0.002971886778682206,35,0.39681062653101634,4,0.39582605714285707,16,32,1,True,1024,2048,8,1,False,1,32,1,1
9,128,1024,DLMT,32,1,True,32,64,False,512,16,1,True,0.36629467767505663,256,256,256,1,False,True,False,256,True,512,True,512,False,1,12,1,False,1,16,1,12,8,1,1,0.0026762802626185537,35,0.368067950896372,12,0.3671813142857143,1,8,8,True,256,512,1,1,True,8,1,8,1
10,1,512,DLMT,8,1,False,32,64,False,64,16,8,True,0.2137557026988073,512,512,128,256,True,False,False,512,True,1,True,1,True,1,4,1,False,1,1,16,1,8,8,1,0.00090729886622494,35,0.21435686872976414,8,0.21405628571428573,12,8,8,True,1024,64,4,256,True,1,1,32,4
