id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,speedup,U1_J,U1_I,U8_I,U7_I,U7_J,U2_I,cost_mean,U9_I,RT3_I,RT3_J,points,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,1,2048,DLMT,1,1,False,1,1,True,16,256,8,True,1,16,64,2048,True,True,True,512,False,16,False,2048,True,4,12,256,True,16,1,1.5554670487301954,1,4,12,1,4,4,0.07353750857142856,1,8,8,305,1,1,4,1,True,1,32,1,4
2,256,64,DLMT,1,8,False,1,1,False,16,1,1,True,32,1,1,256,True,False,False,16,True,512,True,2048,False,4,1,64,True,16,1,1.5430704476382469,1,4,16,4,1,16,0.07412828857142857,12,8,1,321,256,64,16,128,True,1,8,1,1
3,64,2048,DLMT,32,8,True,1,512,False,128,512,1,False,32,64,2048,128,True,False,True,1,False,1,False,2048,True,16,16,1,False,1,4,1.5714479563288084,1,4,16,1,1,4,0.07278966571428572,16,8,8,319,256,512,16,1,True,1,1,1,1
4,32,2048,DLMT,1,1,True,1,16,True,32,256,32,False,16,512,1,64,True,True,True,128,False,512,False,1024,False,4,12,2048,False,1,8,1.5574213492650752,1,8,16,8,1,1,0.07344523142857143,1,1,8,295,512,512,16,256,True,4,32,1,1
5,256,1024,DLMT,32,8,False,1,32,True,32,512,1,False,1,1,1,1,True,True,False,128,True,512,True,1,False,12,8,64,True,1,4,1.518991313650487,16,1,16,1,4,1,0.07530337428571428,1,8,1,331,2048,64,4,1,True,1,32,1,16
6,64,1,DLMT,8,8,False,1,1,True,512,256,8,False,32,1,1,2048,True,False,True,1,True,256,False,512,True,12,4,64,False,16,1,1.4270699795521842,16,1,1,1,16,1,0.08015386285714285,12,1,8,292,2048,1024,12,2048,True,1,32,1,8
7,128,2048,DLMT,1,8,False,8,256,True,64,1,1,False,256,512,256,512,True,True,False,256,False,1,False,256,False,8,16,1,True,1,4,1.5139051534203716,1,4,8,16,1,4,0.07555636571428571,1,1,8,353,1,2048,1,64,True,4,8,1,1
8,16,128,RS,1,1,False,1,128,True,512,16,1,False,256,64,128,2048,False,True,True,512,False,16,False,1,False,16,4,1,True,1,1,1.4347221098338292,1,8,16,8,1,16,0.07972636,4,1,8,360,2048,512,16,1024,True,4,32,1,1
9,32,256,RS,8,1,False,1,32,False,128,512,1,False,1,16,128,1,True,False,False,16,True,16,False,1024,False,1,8,512,False,1,16,1.4406361873838456,1,4,12,8,1,8,0.07939906857142859,4,8,8,360,512,64,16,512,True,1,8,8,8
10,64,1024,RS,8,8,False,1,128,True,64,256,8,True,128,512,256,256,True,True,True,128,True,16,True,2048,True,4,8,1,True,12,1,1.4802967263046478,1,8,1,4,1,16,0.07727178571428572,4,1,8,360,512,2048,12,512,True,4,1,8,1
11,64,128,RS,1,8,True,1,32,True,1,1,8,False,128,1,64,2048,True,True,False,256,True,256,True,256,False,8,8,2048,True,12,1,1.5112657117077952,1,8,1,8,1,12,0.07568832571428571,16,1,32,360,512,64,4,1024,True,4,8,8,1
