id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,1,1024,RS,8,8,True,1,16,True,1,32,1,True,0.14465110953305996,1,1,1,1024,True,False,False,64,False,128,False,1024,False,1,16,2048,True,16,1,16,1,12,1,12,0.0004366566539850151,35,0.14494043332408293,12,0.14479577142857145,12,32,1,True,2048,64,8,128,False,16,1,8,1
2,512,1,RS,1,8,False,8,512,False,1,128,1,True,0.1058111466525168,1,512,512,256,True,False,False,1,True,128,True,1,False,4,12,128,False,1,4,1,4,8,1,4,0.010064149604108515,35,0.11247953906176893,1,0.10914534285714286,12,8,8,True,512,512,1,512,False,1,32,1,16
3,512,64,RS,1,1,False,8,64,False,128,16,8,True,0.10474754843551475,16,64,2048,2048,True,True,True,16,False,16,True,128,False,8,4,256,False,1,4,4,1,12,8,1,0.007404705379579078,35,0.10965382299305669,12,0.10720068571428572,12,1,1,True,1024,512,8,512,False,16,1,1,1
4,512,64,RS,8,1,True,32,16,True,1,256,8,False,0.12705579425889377,128,1,2048,128,False,True,False,64,False,64,True,64,False,1,8,1024,False,12,1,4,1,4,1,16,0.00020725641025511271,35,0.1271931200268205,1,0.12712445714285714,16,8,1,True,256,1,8,2048,True,1,32,1,12
5,256,1024,RS,8,32,False,1,64,False,32,256,1,True,0.12205724328266612,128,32,256,128,False,True,True,64,True,1,False,1,True,16,12,1,False,4,1,1,12,1,4,1,0.005999453682202903,35,0.12603241386019107,4,0.1240448285714286,4,8,1,True,128,2048,12,1,True,1,8,1,4
6,64,2048,RS,8,1,False,32,32,False,64,16,1,True,0.11332773099811667,128,1,256,256,True,False,True,128,True,32,False,2048,False,12,16,256,True,4,1,1,12,4,12,1,0.004825955267940561,35,0.11652535471616908,1,0.11492654285714288,8,8,8,True,256,64,12,1,False,4,8,8,1
7,16,64,RS,1,1,False,8,16,True,64,512,32,True,0.14916741033143027,32,16,1024,512,True,True,False,32,True,64,False,128,True,4,12,64,True,4,1,4,1,12,1,4,0.007813046025666537,35,0.1543442468114269,4,0.15175582857142858,4,8,1,True,1024,256,12,1,False,16,8,1,1
8,512,256,RS,1,1,False,32,1,False,64,1,8,True,0.11027772260967911,512,64,1,512,False,False,False,512,True,128,True,256,False,12,16,2048,True,4,1,1,12,12,4,1,0.007494647304930774,35,0.11524359167603518,1,0.11276065714285714,16,1,1,True,1,2048,1,1024,True,12,32,1,1
9,64,1024,RS,32,1,True,8,1,False,32,128,1,True,0.11712439754146362,1,64,256,64,True,True,True,1,False,1,True,1024,True,16,4,256,False,12,1,8,1,16,1,16,0.007828349432931675,35,0.12231137388710778,8,0.1197178857142857,4,8,8,True,2048,64,1,1,False,1,8,1,1
10,32,1024,RS,1,32,True,1,64,True,512,1,32,True,0.14839933902805297,1,64,128,1,True,True,False,16,False,128,False,512,True,1,12,512,False,1,8,1,12,1,1,1,0.006500919556681884,35,0.1527067752576614,1,0.1505530571428572,4,1,32,True,1024,1024,12,256,True,8,1,1,1
11,32,256,RS,1,1,False,1,512,True,1,128,8,True,0.11380482534460806,1,64,128,2048,False,True,False,32,True,512,True,512,False,4,8,256,True,4,1,8,1,16,1,12,0.006556802434736249,35,0.11814928894110624,12,0.11597705714285715,12,1,8,True,512,1,1,512,True,12,8,1,1
12,128,128,RS,1,1,False,1,16,False,32,32,1,False,0.0853934983896781,128,16,1024,1,True,False,True,256,False,16,False,2048,True,12,16,256,True,1,1,1,1,4,8,1,0.005867915187231218,35,0.08928151303889335,16,0.08733750571428572,4,1,32,True,512,128,16,1,True,1,8,8,4
13,64,512,RS,1,8,False,8,1,False,32,64,32,True,0.15353426103491843,32,1,1024,128,False,True,True,64,False,64,False,64,False,4,4,256,True,16,1,1,4,1,1,1,0.007863861891576932,35,0.1587447675365101,16,0.15613951428571426,4,1,32,True,64,256,1,2048,False,1,32,1,16
14,256,512,RS,32,8,False,8,1,False,128,16,1,True,0.08918341050518143,16,1,512,512,True,False,True,32,False,32,False,128,True,8,8,1024,False,1,12,1,8,16,1,8,0.005640502072337974,35,0.09292074378053285,4,0.09105207714285714,4,8,8,True,512,256,4,256,True,8,8,8,1
15,1,256,RS,8,1,False,32,1,True,256,32,1,True,0.12148276875956462,512,1,256,2048,True,True,False,1,True,1,True,64,True,16,1,2048,True,1,16,16,1,8,1,16,0.00042923356849916804,35,0.12176717409757823,16,0.12162497142857143,8,1,32,True,1024,256,1,128,True,16,1,1,1
16,1,256,RS,1,8,False,1,512,True,128,64,1,True,0.15937824820207916,1,16,256,1024,True,False,False,16,True,128,True,2048,True,4,8,128,True,1,12,12,1,1,1,16,0.0003042881099838638,35,0.15957986608363509,4,0.15947905714285712,12,32,1,True,1024,512,16,512,False,1,1,1,1
17,16,1024,RS,1,8,False,1,256,True,16,1,8,False,0.11716589543056737,32,32,512,512,True,True,True,16,False,128,False,512,False,4,1,256,True,12,1,1,4,12,1,1,0.007818394874987098,35,0.12234627599800409,16,0.11975608571428573,1,8,1,True,256,256,4,1024,False,1,8,1,12
18,64,64,RS,8,8,False,8,64,False,16,32,1,False,0.14164760526978903,32,16,256,256,True,False,False,32,True,16,False,256,True,1,12,1,False,1,16,1,12,8,1,8,0.00038919340347200475,35,0.1419054804444967,12,0.14177654285714286,4,32,1,True,1024,128,4,2048,False,1,1,1,1
19,256,1024,RS,8,1,False,32,256,False,512,64,8,True,0.12105353107396288,16,512,256,2048,True,True,True,16,False,512,False,1024,False,4,12,512,False,16,1,1,1,12,1,8,0.004843462127403482,35,0.12426275464032285,12,0.12265814285714287,4,8,8,True,64,2048,1,1,False,1,1,8,4
20,16,1,RS,1,8,False,1,128,False,1,128,8,False,0.0792654175371021,32,512,128,2048,True,True,False,256,True,16,False,1024,True,4,4,256,False,1,4,1,12,4,8,1,0.005574229884621931,35,0.08295883960575505,16,0.08111212857142858,1,8,8,True,2048,256,8,128,True,4,1,8,1
21,16,512,RS,1,8,True,1,512,False,128,256,32,False,0.152311715299664,32,16,128,512,False,True,False,128,False,256,False,256,True,16,12,1,False,4,1,1,4,8,1,12,0.00026950261064200806,35,0.15249028470033596,1,0.15240099999999998,1,8,1,True,1024,2048,16,1024,False,16,1,1,1
