id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,1,1024,DLMT,1,32,False,1,64,False,512,256,1,True,0.0830256507186997,128,256,2048,2048,True,True,True,1,True,16,True,2048,False,16,4,2048,False,8,1,1,12,4,4,1,0.0057617832919770705,35,0.08684334356701455,16,0.08493449714285713,1,8,8,True,256,512,16,2048,True,1,8,1,16
2,512,2048,DLMT,8,1,False,32,64,False,32,64,1,False,0.0823370679362263,64,16,2048,256,False,False,True,16,False,32,False,128,True,1,4,256,True,1,12,4,1,8,8,1,0.004182686813641711,35,0.08510846920663082,16,0.08372276857142856,12,1,8,True,512,512,8,128,True,8,1,1,1
3,512,128,DLMT,1,8,True,1,512,True,64,256,32,True,0.16719734409760992,16,16,2048,128,False,False,True,256,True,1,True,128,False,16,1,1024,True,1,12,4,1,8,12,1,0.0002999452875279143,35,0.16739608447381873,16,0.16729671428571433,4,1,8,True,256,1024,1,2048,False,16,1,32,1
4,64,512,DLMT,1,8,True,8,64,False,256,128,1,True,0.13411961156940674,16,16,64,1,True,True,False,32,False,64,True,512,False,1,8,64,True,1,8,1,4,16,1,4,0.007480321367428007,35,0.1390759884305933,4,0.13659780000000002,4,1,32,True,512,1024,8,128,False,12,1,32,1
5,1,1024,DLMT,1,32,True,1,256,True,32,128,8,True,0.12293355594194028,64,512,512,1,False,True,False,256,True,256,True,2048,False,16,12,64,True,1,16,1,16,1,12,1,0.005012593504934774,35,0.1262548440580597,1,0.12459419999999999,1,1,1,True,256,2048,12,2048,True,12,1,8,1
6,64,256,DLMT,1,8,True,8,32,True,32,512,1,False,0.16483386691554297,64,64,1,2048,True,True,True,64,False,1,True,1024,False,8,16,64,True,8,1,16,1,8,4,1,0.00035606295476376266,35,0.16506979022731422,4,0.1649518285714286,4,32,1,True,128,128,12,2048,False,1,1,8,16
7,16,128,DLMT,1,32,False,1,1,True,64,128,8,False,0.08319438219728023,256,1,512,512,True,False,True,1,True,16,False,64,False,8,16,1,False,8,1,8,1,16,16,1,0.00011942103270806637,35,0.08327350923129118,8,0.0832339457142857,4,1,32,True,64,64,8,256,True,16,1,32,1
8,1,512,DLMT,32,32,False,1,512,True,64,1,1,True,0.15946836913258233,256,128,2048,256,True,True,False,1,True,32,True,2048,True,12,16,256,False,1,4,1,8,12,1,16,0.00817831822669813,35,0.1648872308674177,16,0.1621778,4,1,1,True,1,1,1,128,True,4,32,1,1
9,32,1,DLMT,8,1,False,1,16,False,16,256,1,True,0.11261200978650066,64,32,128,1024,True,False,True,512,False,32,False,512,True,12,12,64,True,1,1,1,4,4,16,1,0.005561532611848379,35,0.1162970187849279,16,0.11445451428571428,4,8,8,True,1,2048,4,2048,True,1,1,32,8
10,512,2048,DLMT,1,1,False,32,256,False,16,16,1,False,0.1148420719176648,1,512,1024,128,True,False,True,16,True,512,False,1024,False,16,12,2048,False,1,1,1,16,4,8,1,0.00536988824236689,35,0.1184000995109066,1,0.1166210857142857,8,8,1,True,256,1,4,2048,False,4,8,8,1
11,128,1,DLMT,1,8,True,8,32,False,32,256,8,False,0.14343643574206982,16,128,1024,64,False,True,False,256,False,64,True,128,True,16,16,2048,True,16,1,16,1,8,1,4,0.006863619427392638,35,0.14798419282935876,1,0.1457103142857143,8,1,8,True,256,128,4,256,True,1,1,32,16
12,512,128,DLMT,8,1,False,1,256,True,1,128,1,False,0.16985018036787639,512,1,1024,512,False,False,False,16,False,128,True,1,False,12,16,1,False,1,16,1,4,12,4,1,0.006718986565346453,35,0.17430210534640936,16,0.17207614285714287,12,1,8,True,512,256,12,2048,False,1,1,32,8
13,16,1024,DLMT,1,1,True,1,1,False,512,1,32,False,0.1323327239327351,512,512,128,1,False,False,True,256,False,16,True,128,False,16,4,1024,True,8,1,1,8,4,1,1,0.006066220133002163,35,0.13635213321012207,4,0.13434242857142858,4,8,1,True,512,2048,12,2048,True,1,8,8,12
14,16,512,DLMT,32,32,True,1,128,False,32,128,1,False,0.1890042516985167,512,1,512,512,False,True,True,32,True,1,False,128,True,12,16,1024,True,12,1,1,16,4,4,1,0.008313123686395271,35,0.194512434015769,8,0.19175834285714285,8,32,1,True,2048,2048,12,256,False,12,1,8,1
15,64,128,DLMT,1,1,False,1,64,True,32,64,32,True,0.12658083668500142,1,64,512,64,True,False,False,32,False,1,False,128,True,16,12,2048,False,12,1,8,1,1,1,4,0.006655428840289953,35,0.13099064902928426,4,0.12878574285714284,8,1,32,True,128,2048,12,1024,True,1,1,1,1
16,512,128,DLMT,32,8,False,1,1,False,1,256,1,False,0.11867859245033484,64,16,512,2048,True,False,False,16,True,1,False,1024,False,8,1,2048,False,1,16,1,4,16,1,16,0.0005190260297825507,35,0.11902249326395085,12,0.11885054285714285,4,8,8,True,64,1,1,512,False,8,32,1,1
17,512,1,DLMT,8,1,False,1,64,False,16,16,8,True,0.1139698729220455,64,32,512,1024,False,True,False,1,True,32,False,1024,False,12,4,64,True,1,8,16,1,1,12,1,0.007835538695467164,35,0.11916161279224022,4,0.11656574285714286,16,32,1,True,512,128,16,2048,False,8,8,1,1
18,64,512,DLMT,1,1,False,1,1,True,1,512,32,True,0.17979342018347133,64,16,64,128,False,False,False,16,True,256,True,2048,True,4,8,256,True,12,1,1,12,4,1,16,0.00047297543103986763,35,0.18010680838795723,4,0.17995011428571428,4,8,1,True,512,1,1,1,True,1,1,32,1
