id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,32,1,1,1,1,16,32,2048,6,0.1000276799622148,32,128,32,RS,1,True,True,False,128,64,False,1,5,17,64,1,35,64,18,1,0.10248325714285715,32,False,0.007412070134364263,True,0.1049388343234995
2,1,1,128,8,128,32,1,512,2,0.19991242407357793,128,128,512,RS,8,False,True,True,512,2048,False,18,1,26,512,1,35,2048,15,1,0.20184974285714286,1,True,0.005847726070107968,True,0.20378706164070778
3,1,8,2048,8,32,16,1,128,1,0.1828413394263106,64,64,32,RS,8,True,False,False,64,64,False,6,16,1,128,1,35,1,26,19,0.18417340000000001,1,False,0.004020776244884634,True,0.18550546057368944
4,1,1,1024,32,128,16,256,128,21,0.08188757133744513,16,1,128,RS,32,True,False,True,1024,2048,True,2,1,17,1,1,35,512,8,1,0.0825386142857143,1,True,0.0019651493877264484,True,0.08318965723398346
5,1,1,2048,1,128,1,16,2048,23,0.1434618427770757,64,512,128,RS,8,True,True,True,256,256,False,10,5,1,1,8,35,64,1,8,0.14602742857142859,1,False,0.00774412712146885,True,0.14859301436578148
6,32,1,256,1,256,1,256,1024,1,0.14037940539114602,32,64,512,RS,1,False,True,True,512,2048,False,6,1,6,512,8,35,256,5,22,0.1420716,1,True,0.005107827691466726,True,0.14376379460885397
7,1,8,1,1,256,32,64,2048,8,0.2368698136232283,128,512,64,RS,8,False,False,True,256,1024,True,20,24,1,1,8,35,2048,1,8,0.23857985714285712,1,True,0.005161703977469105,True,0.24028990066248596
8,32,1,1024,1,32,1,1,256,1,0.13906413591087208,512,16,16,RS,1,True,False,False,1,256,False,1,28,16,128,1,35,256,3,15,0.1408030857142857,8,False,0.005248956540502278,True,0.14254203551769934
9,8,8,64,1,32,256,64,1,6,0.23155016319821056,128,32,16,RS,1,False,False,True,1024,1,False,1,23,22,512,8,35,1024,13,1,0.23465434285714284,1,False,0.009369853052492662,True,0.23775852251607513
10,1,1,256,32,16,16,64,512,1,0.3155492556367731,1,64,256,RS,1,False,False,True,64,2048,False,27,16,1,2048,32,35,512,1,28,0.3183056571428571,1,True,0.008320097385909638,True,0.32106205864894105
11,1,8,512,1,64,1,16,1024,10,0.20712696490628602,512,1,32,RS,8,True,True,False,512,128,True,1,14,3,2048,8,35,2048,1,22,0.20918474285714286,1,True,0.006211327671936432,True,0.2112425208079997
12,8,8,1,1,1,16,512,256,1,0.14007215351702412,128,256,512,RS,1,False,False,False,2048,1024,True,2,1,16,64,1,35,512,20,19,0.14129071428571427,32,False,0.003678181224242133,True,0.14250927505440442
13,1,1,256,1,32,128,1,1,26,0.25161477354728057,128,256,128,RS,32,True,True,False,2048,2048,True,15,20,1,256,1,35,2048,9,1,0.2535935428571429,1,True,0.005972842971521101,True,0.25557231216700527
14,1,32,2048,1,64,512,128,2048,25,0.1300790901348427,256,64,16,RS,1,True,False,True,2048,512,True,30,1,4,512,32,35,2048,8,1,0.13134585714285715,1,False,0.0038236899989621625,True,0.1326126241508716
15,1,32,64,1,64,64,16,2048,9,0.22214883068813132,64,64,64,RS,1,False,False,False,64,64,False,1,25,11,1,1,35,1,1,6,0.2254274857142857,1,False,0.009896500583168434,True,0.22870614074044007
16,8,1,2048,1,1,16,16,1,1,0.12809361394314492,1,256,128,RS,1,True,False,False,2048,512,True,1,13,28,512,8,35,256,18,13,0.1296891428571429,1,True,0.004816045818142618,True,0.13128467177114087
17,1,8,2048,8,128,1,64,128,17,0.15196891424567627,64,16,256,RS,8,True,False,False,1,512,False,1,23,18,128,1,35,1024,1,2,0.1545335142857143,8,False,0.007741151658032095,True,0.15709811432575232
18,8,1,2048,8,128,16,1,64,26,0.10130729624136926,128,16,128,RS,8,True,True,False,512,128,False,3,1,18,256,1,35,256,1,20,0.10372334285714285,8,False,0.007292748566478729,True,0.10613938947291644
19,32,1,512,1,64,64,64,128,12,0.12163550804867442,256,16,256,RS,8,False,True,False,256,256,True,3,1,26,64,8,35,1024,25,1,0.12296439999999999,1,False,0.004011211873878372,True,0.12429329195132556
20,32,1,2048,1,128,256,64,256,6,0.08582116430394869,64,16,128,RS,1,True,False,True,128,1,False,9,1,3,2048,1,35,1,10,1,0.08769184285714286,8,False,0.005646574965930903,True,0.08956252141033703
21,8,1,256,1,32,64,1,1024,1,0.1291429107791896,16,128,256,RS,1,True,True,True,256,1,False,1,14,15,2048,32,35,2048,5,1,0.13077477142857144,1,True,0.00492571183592912,True,0.13240663207795328
22,1,8,1,1,16,1,1,256,1,0.1237285187001715,16,16,512,RS,1,True,True,True,128,1,True,11,18,1,128,1,35,64,25,1,0.12534145714285713,32,False,0.004868595845344538,True,0.12695439558554275
23,1,1,64,32,64,16,32,1,6,0.22402088194124115,1,32,64,RS,1,False,True,False,256,1,False,25,1,10,1,1,35,256,1,11,0.2268338,1,False,0.008490690538297981,True,0.22964671805875886
24,1,32,512,1,1,32,256,1024,1,0.15084580514090626,16,16,512,RS,1,False,False,False,2048,1024,False,5,1,10,128,32,35,2048,17,10,0.15259314285714287,1,True,0.005274275149347102,True,0.15434048057337948
25,8,1,64,1,16,128,256,256,5,0.11594447027359892,128,32,32,RS,1,False,False,False,1,1,False,1,4,13,512,1,35,1024,1,3,0.11797468571428572,32,True,0.006128131240535283,True,0.12000490115497253
26,1,1,64,1,16,16,256,1024,4,0.1284775106639873,16,1,256,RS,8,False,True,False,512,256,True,1,6,15,64,8,35,1,3,1,0.1301065142857143,1,False,0.00491708800218427,True,0.13173551790744129
27,1,32,1,1,32,512,128,1,1,0.11055644711948551,128,16,128,RS,1,True,False,True,256,1,True,24,1,3,64,8,35,1024,24,16,0.11194802857142858,8,True,0.004200437844427408,True,0.11333961002337165
