id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,32,1,1024,1,256,1,16,512,13,inf,16,16,64,RS,1,True,False,False,256,2048,True,29,11,1,512,8,1,64,4,1,inf,8,False,inf,False,inf
2,8,1,1,1,16,16,16,128,1,0.07779858059452727,32,64,128,RS,1,True,True,True,1,1024,True,1,15,28,1,1,35,128,7,26,0.07991840571428571,32,True,0.0063986147876348015,True,0.08203823083404416
3,1,1,1024,32,512,16,32,2048,1,0.31771220327677224,512,512,256,RS,32,True,True,True,1,1024,True,21,20,1,1,1,35,128,18,15,0.32113259999999993,1,False,0.010324342724703731,True,0.3245529967232276
4,32,1,1024,1,1,64,16,256,1,0.14347934506206342,1,64,16,RS,32,False,False,True,1024,1024,True,1,1,3,1,1,35,128,23,8,0.14635162857142858,1,False,0.008669882985157674,True,0.14922391208079375
5,1,32,64,1,64,64,256,256,23,0.385784415074216,128,32,128,RS,8,True,False,True,1,128,True,1,28,9,64,1,35,1024,16,1,0.3898573714285715,8,True,0.012294070164306769,True,0.393930327782927
6,1,8,1024,8,512,64,32,256,19,0.29725964063693816,64,64,1,RS,32,True,False,False,128,1,False,2,30,1,1,1,35,128,25,1,0.3016213714285714,1,False,0.013165725268038574,True,0.3059831022202047
7,1,1,128,8,64,512,64,2048,28,0.17032684527507,1,16,512,RS,1,True,False,True,1024,1024,True,3,1,24,1024,1,35,512,1,22,0.1724415142857143,1,False,0.006383051260381122,True,0.1745561832963586
8,1,1,1024,32,256,32,64,1024,3,0.17560436525080297,64,16,16,RS,1,True,False,False,256,1024,True,1,2,21,256,1,35,512,1,3,0.18142639999999996,32,True,0.01757359948851848,True,0.18724843474919695
9,8,1,1024,1,128,512,512,2048,30,0.14658451371709397,64,64,256,RS,32,False,True,False,256,1,False,15,1,29,2048,1,35,1,1,29,0.1487680857142857,1,True,0.006591032411526735,True,0.15095165771147745
10,1,32,256,1,16,512,32,1,27,0.33489066073937346,32,1,16,RS,1,True,False,False,1024,512,True,18,30,1,2048,8,35,2048,27,1,0.34008311428571425,8,True,0.01567323159634455,True,0.34527556783205504
11,32,1,2048,1,64,256,1,256,21,0.2763058287220261,128,128,64,RS,8,False,False,False,1,128,False,15,1,13,128,8,35,256,17,1,0.2773255142857142,1,True,0.0030778836733929356,True,0.27834519984940237
12,8,1,64,1,32,32,256,256,1,0.21246816322658538,16,1,16,RS,32,True,True,True,64,1,False,23,18,1,1,1,35,512,19,25,0.21520554285714286,1,True,0.008262680548596999,True,0.21794292248770034
13,1,1,2048,32,32,128,16,512,9,0.16112999702509812,32,16,64,RS,1,True,False,False,64,1,False,1,27,15,1024,32,35,256,1,21,0.1655068857142857,1,False,0.013211478828809499,True,0.1698837744034733
14,1,1,64,8,128,128,128,256,1,0.327078919384057,32,1,64,RS,1,False,False,False,512,1,True,9,1,17,2048,1,35,2048,26,6,0.3324409142857142,1,False,0.0161849859920879,True,0.33780290918737144
15,1,1,256,1,1,32,128,128,14,0.1278876008218755,256,128,32,RS,1,False,True,True,2048,64,False,8,1,18,64,32,35,2048,28,1,0.13142382857142856,1,False,0.010673974451870476,True,0.13496005632098163
16,1,8,512,1,64,256,32,256,9,0.14381777616790783,128,16,256,RS,1,False,False,True,1,512,False,23,1,22,64,1,35,1024,20,1,0.14737374285714286,8,False,0.010733555721176081,True,0.15092970954637788
17,8,1,1024,8,256,512,1,1024,25,0.1282435294902606,64,1,512,RS,1,False,False,False,2048,1,True,1,3,18,512,1,35,128,1,23,0.1303229714285714,1,True,0.006276719627711434,True,0.13240241336688222
18,32,1,64,1,128,16,16,2048,17,0.352689723140109,256,1,64,RS,8,True,False,True,256,128,False,23,22,1,2048,1,35,256,1,30,0.3595049714285714,8,False,0.02057157832195495,True,0.3663202197170338
19,8,8,2048,1,64,64,256,64,21,0.26458259753148705,1,256,128,RS,1,True,False,True,1024,256,True,1,27,24,256,1,35,512,4,1,0.26833759999999995,32,False,0.011334337959618867,True,0.27209260246851286
20,1,8,128,8,64,32,32,128,1,0.29102405580208224,128,1,64,RS,1,False,True,True,512,512,False,18,1,14,128,32,35,64,23,1,0.296017,1,False,0.015071019906714056,True,0.3010099441979177
21,1,1,1024,8,64,128,1,2048,1,0.31012701371205037,32,256,128,RS,1,True,True,False,64,128,False,15,1,2,128,1,35,512,21,16,0.31455994285714284,1,True,0.013380634900466863,True,0.3189928720022353
22,1,1,1024,1,16,1,16,128,1,0.1328310305919636,16,256,16,RS,1,True,False,True,1,128,True,21,1,26,1,32,35,1024,15,30,0.1376173142857143,1,False,0.014447222714361658,True,0.142403597979465
23,1,1,64,8,1,1,32,1,1,0.2795158758683683,1,1,1,RS,1,True,True,True,1024,2048,True,25,17,1,1,8,35,1024,15,21,0.2829153714285715,8,False,0.010261253326639463,True,0.2863148669887747
24,8,8,1,1,128,16,1,512,1,0.176946862410441,1,32,16,RS,1,False,True,True,2048,1,True,12,1,27,512,32,35,2048,7,17,0.18115905714285718,1,True,0.012714356128729575,True,0.18537125187527337
25,1,8,1,8,32,128,16,256,9,0.28243419635065276,32,128,128,RS,1,True,False,True,64,512,False,12,1,7,256,8,35,512,1,17,0.2874862,1,False,0.015249288706222145,True,0.2925382036493473
26,8,1,256,1,1,64,64,512,13,0.29244824448203205,64,16,128,RS,32,False,False,True,2048,2048,True,1,21,6,1024,1,35,2048,8,1,0.3078809999999999,1,True,0.04658320950667587,True,0.32331375551796776
27,1,1,2048,8,16,32,128,1024,1,0.15146907454977523,256,32,1,RS,8,True,False,False,1024,1,False,1,16,20,64,1,35,2048,30,5,0.15398271428571428,8,True,0.007587329839264662,True,0.15649635402165332
28,1,8,64,8,32,32,256,1024,20,0.2670242677386989,1,1,1,RS,1,True,True,True,256,256,True,24,1,10,64,8,35,1,14,1,0.26796522857142857,1,False,0.002840255945063648,True,0.2689061894041582
